college_major,college_major_category,riasec,question
Acting,Arts,A,Perform a character role in a stage production or film.
Animation,Arts,A,Create digital characters and movement for a 3D film.
Art and Design,Arts,A,Develop a visual brand identity for a new lifestyle product.
Commercial Art,Arts,A,Create illustrations and layouts for advertisements and magazines.
Dance,Arts,A,Choreograph and perform a sequence of artistic movements.
Design,Arts,A,Conceptualize the aesthetic and functional layout of a product.
Drama,Arts,A,Analyze and interpret scripts for theatrical performance.
Fashion,Arts,A,Predict upcoming style trends and curate a seasonal collection.
Fashion Design,Arts,A,Sketch and sew original clothing concepts and accessories.
Fashion Merchandising,Arts,E,Manage the buying and visual display of apparel in retail.
Film Studies,Arts,I,Analyze the cinematic techniques and cultural impact of movies.
Fine Arts,Arts,A,Create original works of art using oil paints or sculpture.
Graphic Design,Arts,A,Compose typography and images for digital and print media.
Interior Design,Arts,A,Plan the layout and color schemes for a residential living space.
Music,Arts,A,Compose or perform musical pieces on an instrument.
Performing Arts,Arts,A,Express emotions and stories through live audience performance.
Photography,Arts,A,Capture and edit high-quality images to tell a visual story.
Product Design,Arts,R,Prototype a new physical gadget to solve a common user problem.
Studio Arts,Arts,A,Experiment with different physical mediums in a creative workspace.
Theater,Arts,A,"Coordinate the lighting, sets, and acting for a stage show."
Visual Arts,Arts,A,Communicate complex ideas through visual media and installations.
Writing,Arts,A,"Draft original stories, essays, or poetry for publication."
Child Development,Behavioral Health,S,Study and support the emotional growth of toddlers and infants.
Clinical Psychology,Behavioral Health,I,Diagnose and treat mental health disorders in a clinical setting.
Comm. Disorders,Behavioral Health,S,Assist individuals in overcoming speech and language hurdles.
Counseling,Behavioral Health,S,Guide individuals through personal or emotional challenges.
Family Science,Behavioral Health,S,Analyze family dynamics to improve interpersonal relationships.
Human Development,Behavioral Health,I,Study how people change physically and mentally over a lifetime.
Human Services,Behavioral Health,S,Coordinate community resources to support vulnerable populations.
Mental Health Counseling,Behavioral Health,S,Provide therapeutic support for people dealing with anxiety or depression.
Occupational Therapy,Behavioral Health,S,Help patients regain daily living skills after an injury.
